Amount,MTTR,M_r,M_rf,PE,EPS,ROE,IPS,yyyymm,Beta,M_ExRet,M_vol,M_liq,M_high,M_skew,PEL1,EPSL1,ROEL1,IPSL1,MTTRL1,BetaL1,M_volL1,M_liqL1,M_highL1,M_skewL1
183446259.78,10.4055,0.0972,0.00165,63.28,0.25,6.2595,1.79,200103,0.9439,0.09555,0.00503973,0.005108413913323212,0.9420118343195267,0.64994672760529,57.67,0.15,4.2458,0.95,4.5339,0.9459,0.004541450000000001,-0.0048444470305484865,0.9094674556213018,-1.2145013539712797
192718982.34,10.5702,-0.0201,0.00165,77.93,0.25,6.2595,1.79,200104,0.9306,-0.02175,0.00406185,-0.0010536389429869068,0.9609467455621301,-0.4662220188758124,63.28,0.25,6.2595,1.79,10.4055,0.9439,0.00503973,0.005108413913323212,0.9420118343195267,0.64994672760529
367860849.85,18.6922,0.1776,0.00165,91.76,0.25,6.2595,1.79,200105,0.9608,0.17595,0.00538288,0.009004617011255777,1.1311576354679804,1.794369674140185,77.93,0.25,6.2595,1.79,10.5702,0.9306,0.00406185,-0.0010536389429869068,0.9609467455621301,-0.4662220188758124
254959513.94,12.5965,-0.068,0.00165,85.32,0.25,6.2595,1.79,200106,1.5167,-0.06965,0.008530779999999998,-0.003513010868378745,0.9978225367446922,-0.4766254987781624,91.76,0.25,6.2595,1.79,18.6922,0.9608,0.00538288,0.009004617011255777,1.1311576354679804,1.794369674140185
101913706.49,5.4369,-0.1452,0.00165,98.13,0.25,6.2595,1.79,200107,1.4484,-0.14685,0.01057972,-0.007874341561757339,0.9308655416439848,-2.045045252712051,85.32,0.25,6.2595,1.79,12.5965,1.5167,0.008530779999999998,-0.003513010868378745,0.9978225367446922,-0.4766254987781624
70080276.0,4.254,-0.0767,0.00165,90.6,0.02,0.638,0.67,200108,1.4698,-0.07835,0.011952760000000002,-0.004245743420385206,0.8366902558519325,-0.5801387510890712,98.13,0.25,6.2595,1.79,5.4369,1.4484,0.01057972,-0.007874341561757339,0.9308655416439848,-2.045045252712051
45543585.0,2.9529,-0.0007,0.00165,90.53,0.02,0.638,0.67,200109,1.3989,-0.00235,0.006999539999999999,-3.9695635782472485e-05,0.7594108019639935,-0.7505677509307814,90.6,0.02,0.638,0.67,4.254,1.4698,0.011952760000000002,-0.004245743420385206,0.8366902558519325,-0.5801387510890712
44491861.99,3.373,-0.1433,0.00165,-14.7,0.02,0.638,0.67,200110,1.4513,-0.14495000000000002,0.036919560000000004,-0.008137044476117827,0.7748538011695906,-0.04201267268168999,90.53,0.02,0.638,0.67,2.9529,1.3989,0.006999539999999999,-3.9695635782472485e-05,0.7594108019639935,-0.7505677509307814
54848182.54,4.15,0.0529,0.00165,-15.47,0.02,0.638,0.67,200111,1.4704,0.051250000000000004,0.01481752,0.0029685613734947505,0.7905009759271309,-0.9553120226737457,-14.7,0.02,0.638,0.67,3.373,1.4513,0.036919560000000004,-0.008137044476117827,0.7748538011695906,-0.04201267268168999
61055616.23,4.5385,-0.1309,0.00165,-13.45,0.02,0.638,0.67,200112,1.5502,-0.13255,0.007588220000000001,-0.007301714761576903,0.9087643678160919,-0.7492110618626501,-15.47,0.02,0.638,0.67,4.15,1.4704,0.01481752,0.0029685613734947505,0.7905009759271309,-0.9553120226737457
