Scenario,RMSE,MAE,OOS_R2
Baseline - 10 factors,0.14087131567620462,0.09896263768136608,-0.007738658039447177
Selected - 3 factors,0.1403422841026814,0.09855132003683963,-0.00018389773880866933
Winsorized - 10 factors,0.1420772880677632,0.1002164748180759,-0.025066628470883145
